product_name,vendor_name,taxonomy_category,taxonomy_sub_category,product_description
Mobile Analytics,AMAZON WEB SERVICES,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Amazon Mobile Analytics is a service that lets you easily collect, visualize, and understand app usage data at scale."
Hadoop,OPEN SOURCE,BI & Data Analytics,Analytics Database,Apache Hadoop is a collection of open-source software utilities that facilitate using a network of many computers to solve problems involving massive amounts of data and computation. Big data product.
Spark,APACHE SOFTWARE FOUNDATION,BI & Data Analytics,Data Movement Management,Spark has been called a 'general purpose distributed data processing engine' and 'a lightning fast unified analytics engine for big data and machine learning'². It lets you process big data sets faster by splitting the work up into chunks and assigning those chunks across computational resources.  Opensource
Superset,OPEN SOURCE,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,Apache Superset is an open-source software application for data exploration and data visualization able to handle large amounts of data.
DataFlow Platform,CLOUDERA INC,BI & Data Analytics,Analytics Database,"Cloudera Dataflow (CDF) is a scalable, real-time streaming data platform that ingests, curates, and analyzes data for key insights and immediate actionable intelligence. DataFlow addresses the following challenges:
Processing real-time data streaming at high volume and high scale
Tracking data provenance and lineage of streaming data
Managing and monitoring edge applications and streaming sources
Gaining real-time insights and actionable intelligence from streaming data"
Hortonworks Data Platform (HDP),CLOUDERA INC,BI & Data Analytics,Analytics Database,"Now Cloudera Enterprise Data Hub.  Hortonworks Data Platform (HDP) is an open source framework for distributed storage and processing of large, multi-source data sets. HDP modernizes your IT infrastructure and keeps your data secure—in the cloud or on-premises—while helping you drive new revenue streams, improve customer experience, and control costs."
Data Modeler,ERWIN INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Erwin Data Modeler (erwin DM) is an award-winning data modeling tool used to find, visualize, design, deploy and standardize high-quality enterprise data assets.

ERwin Data Modeler is an industry-leading data modeling solution that provides a simple, visual interface to manage your complex data environment.
(Previously known as All Fusion Data Modeler)"
Web Portal,ERWIN INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"The Erwin Web Portal provides a simple, customizable, web-based interface that allows both business and technical users across the organization to easily visualize the important metadata information that is stored in ERwin Data Modeler and beyond.

erwin DM Web Portal is a self-service collaboration tool that enables business and technical users to easily discover, visualize and understand the data sources, structures and architecture that drive the organization. Authorized stakeholders can access and easily navigate the metadata and annotated diagrams stored within erwin Data Modeler (DM) for an integrated view of the data landscape to increase data fluency and effectively collaborate for strategic decision-making."
Data Quality,INFORMATICA LLC,BI & Data Analytics,Data Governance,"Informatica Data Quality uses Informatica applications to create objects, save objects to the Model repository, and run mappings. ... Profiling is a key step in any data project as it can identify strengths and weaknesses in your data and help you define your project plan. Create scorecards to review data quality.
Informatica Data Quality ensures that your teams, across lines of business or IT, can easily deploy data quality for all workloads: for real-time, web services, batch, and big data. The Right Deployment Model for the Right Use Case No matter what type of initiative your organization is working on, with Informatica Data Quality,"
PowerCenter,INFORMATICA LLC,BI & Data Analytics,Data Movement Management,"Informatica PowerCenter is a widely used extraction, transformation and loading (ETL) tool used in building enterprise data warehouses. The components within Informatica PowerCenter aid in extracting data from its source, transforming it as per business requirements and loading it into a target data warehouse."
PowerExchange,INFORMATICA LLC,BI & Data Analytics,Data Movement Management,PowerExchange® is a family of products that enables your IT organization. to retrieve all sources of enterprise data without having to develop custom data-access. By accessing mission-critical operational data where it's stored and delivering it.
Test Data Management (TDM),INFORMATICA LLC,BI & Data Analytics,Data Movement Management,"Testers can create test data sets on-premises or on cloud repositories using real data cloned from production. Includes Test Data Management PeopleSoft Application Accelerator, Test Data Management SAP Application Accelerator, and Test Data Management Siebel Application Accelerator"
Test Data Management,K2VIEW LLC,BI & Data Analytics,Data Movement Management,"The K2View Test Data Management solution quickly provisions test data subsets with referential integrity, from any number of production sources, based on user-defined rules. Testing teams spend less time retrieving and preparing test data, and complete testing more quickly, at higher quality."
Advanced Data Integration (ADI),K2VIEW LLC,BI & Data Analytics,Data Movement Management,"K2View is a software company that provides a data-as-service platform that enables enterprises to access the data they want in real time, in a simplified format, to fit any purpose and shift transformation into the fast lane.

K2View ADI lets you flexibly sync data to and from your data sources and target micro-databases, providing full, real-time control over what, when, and frequency of syncing"
Data Fabric,K2VIEW LLC,BI & Data Analytics,Data Movement Management,"K2View Fabric easily connects to virtually any data source, organizes the data around what matters most to your business (such as customers, stores, transactions or products), stores it in secure micro-databases, and exposes it in real-time to any device, application or service while keeping it continuously refreshed.
K2View is a software company that provides a data-as-service platform that enables enterprises to access the data they want in real time, in a simplified format, to fit any purpose and shift transformation into the fast lane."
KYVOS Enterprise,KYVOS,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,Kyvos is a business intelligence acceleration platform for cloud and big data platforms developed by an American privately held company named Kyvos Insights. 
Logi Info,LOGI ANALYTICS INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Logi Analytics is a business intelligence (BI) platform that provides self-service analytics tools for businesses. It can be embedded directly into the applications that employees use every day. Key features include a dashboard, data blending, associate filtering and more."
Vertica,MICRO FOCUS US INC,BI & Data Analytics,Analytics Database,Columnar storage platform that's designed to handle large volumes of data and enables very fast query performance in traditionally intensive scenarios
MicroStrategy Collaboration,MICROSTRATEGY SERVICES CORP,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"The MicroStrategy platform supports interactive dashboards, scorecards, highly formatted reports, ad hoc query, thresholds and alerts, and automated report distribution."
Oracle Business Intelligence Enterprise Edition (OBIEE+),ORACLE,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Oracle Business Intelligence Suite, Enterprise Edition (OBIEE) is an innovative and comprehensive BI platform that delivers the full range of BI capabilities on a next-generation architecture designed for true enterprise deployment."
Spectrum Technology Platform,PRECISELY SOFTWARE INC,BI & Data Analytics,Analytics Database,"Spectrum Technology Platform is a modular software for master data management. This platform handles data processing, integration, quality, analytics and governance, while synchronizing repository data and providing other business services."
Enterprise Stack,GRAFANA LABS,"Performance, Monitoring & Logging",Monitoring & Logging,"Grafana Enterprise includes access to enterprise plugins that take your existing data sources and allow you to drop them right into Grafana. This means you can get the best out of your complex, expensive monitoring solutions and databases by visualizing all the data in an easier and more effective way.

Grafana is an open source solution for running data analytics, pulling up metrics that make sense of the massive amount of data & to monitor our apps with the help of cool customizable dashboards.

APM"
"Business Objects BI Suite, analytics edition",SAP,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"SAP BusinessObjects BI (SAP BO, also historically BOBJ) is a reporting and analytics business intelligence (BI) platform aimed at business users. It consists of a number of reporting applications that allow users to discover data, perform analysis to derive insights and create reports that visualize the insights."
Einstein Analytics,SALESFORCE COM INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Sales Cloud Einstein is your own data science department that learns from your team's sales activities and CRM data and helps you identify the best leads, convert opportunities more efficiently, and retain customers with ease. Sales Cloud Einstein also includes the Sales Analytics app and Inbox."
Tableau Server,TABLEAU SOFTWARE INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Tableau Software is a Business Intelligence and Data visualization tool that helps to analyse and report huge amounts of data into desired information.
Tableau is a powerful and fastest growing data visualization tool used in the Business Intelligence Industry. It helps in simplifying raw data into the very easily understandable format. Data analysis is very fast with Tableau and the visualizations created are in the form of dashboards and worksheets
Acquired by Salesforce"
SISENSE Platform,SISENSE INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Sisense is a business intelligence tool for simplifying complex data preparation and analysis.
Visualize complex data with stunning dashboards."
Dundas Data Visualization,DUNDAS,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Dundas BI is an exceptionally flexible, end-to-end business intelligence platform that simplifies the entire analytics process and empowers everyone to visualize and analyze data"
Heavy.AI Enterprise,HEAVY.AI,BI & Data Analytics,Analytics Database,"Take a no-movement approach to accessing data in your warehouses, lakes, and enterprise databases. Just point to your datasets and make them readily available for queries, analysis, and data exploration without loading them directly into HeavyDB. HeavyConnect intelligently captures changes in your data connections and accounts for the differences.

DB is a SQL-based, relational, and columnar database engine specifically developed to harness the massive parallelism of modern GPU and CPU hardware. It can query up to billions of rows in milliseconds and is capable of unprecedented ingestion speeds, making it the ideal SQL engine for the era of big, high-velocity data.
"
Spatial Data Catalog,CARTO.IO,BI & Data Analytics,Analytics Database,"Browse our Spatial Data Catalog to discover thousands of public & premium datasets to enrich your data. Discover how the Data Observatory enables Data Scientists, Analysts & Developers to save time on gathering & cleaning data."
KORE BOTS Platform,KORE AI INC,AI & ML,Development,"Kore.ai bots platform provides a secure, scalable, and superior end-to-end solution to design, built, test and deploy AI-powered chatbots. Kore.ai Bots Platform - Kore Bots Platform B2E Licenses

Use AI as a customer-service assistant to create personalized customer experiences across voice and digital channels. Respond to and deflect complex queries with high degrees of accuracy. Automate interactions to improve Net Promoter Score."
Easy View,HELP SYSTEMS LLC,AI & ML,Development,Robot provides exceptional automation solutions for every IBM i environment
Crystal Ball,ORACLE,AI & ML,Development,"Oracle Crystal Ball is the leading spreadsheet-based application for predictive modeling, forecasting, simulation, and optimization. It gives you unparalleled insight into the critical factors affecting risk"
Comprehend,AMAZON WEB SERVICES,AI & ML,Development,Amazon Comprehend is a natural-language processing (NLP) service that uses machine learning to uncover valuable insights and connections in text.
Polly,AMAZON WEB SERVICES,AI & ML,Development,"Amazon Polly is a service that turns text into lifelike speech, allowing you to create applications that talk, and build entirely new categories of speech-enabled products. Polly's Text-to-Speech (TTS) service uses advanced deep learning technologies to synthesize natural sounding human speech."
Transcribe,AMAZON WEB SERVICES,AI & ML,Development,Amazon Transcribe is an automatic speech recognition (ASR) service that makes it easy for developers to add speech-to-text capability to applications.
Datacap,IBM,AI & ML,Development,"IBM Datacap helps you streamline the capture, recognition and classification of business documents and extract important information. ... Its natural language processing, text analytics and machine learning technologies automatically identify, classify and extract content from unstructured or variable documents."
Watson,IBM,AI & ML,Serving,"IBM Watson is a data analytics processor that uses natural language processing, a technology that analyzes human speech for meaning and syntax. IBM Watson performs analytics on vast repositories of data that it processes to answer human-posed questions, often in a fraction of a second"
IQ Bot,AUTOMATION ANYWHERE INC,AI & ML,Development,"IQ Bot which enables any organization to automate human-centric processes involving fields and patterns. Intelligent IQ bots learn as they process by studying human behavior, becoming more accurate, faster and virtually foolproof, reducing human processing costs by more than 1/3."
Enterprise AI,DATAROBOT INC,AI & ML,Development,DataRobot enables business analysts to build predictive analytics with no knowledge of Machine Learning or programming. It uses automated ML to build and deploy accurate predictive models in a short span of time.
ASAPP,ASAPP INC,AI & ML,Development,"ASAPP is an artificial intelligence company that changes the way people and large organizations communicate. The company has created an asynchronous messaging platform that allows organizations and people to interact the same way they do with one another. Cloud Service and Software License Agreement for subscription to the ASAPP platform, which will replace the incumbent Nuance, providing the social & chat customer interaction platform for CMB agents."
Enterprise RPA Platform,AUTOMATION ANYWHERE INC,AI & ML,Development,It's the Server that controls Automation Anywhere bots. Apart from that the control room deal with. User management. Source control: code for the bots is managed by the control room.
Data Science Platform,DOMINO DATA LAB INC,AI & ML,Development,"Domino's data science workbench provides the flexibility and power that data scientists need to accelerate research and make breakthroughs that deliver real business impact.

Domino captures all data science work in a central repository, so your team can easily find, reproduce and reuse work. Gone are the days of data scientists starting projects from scratch only to find out another team member is working on the same problem. Instead, knowledge is compounded with reusable code, artifacts and learnings from previous experiments, integrated project management capabilities, and the ability to replicate development environments.

Empowers IT and Enable Multi-Cloud Data Science. With its strategic adoption of Kubernetes, Domino now enables forward-looking IT organizations to streamline and enhance their data science infrastructure with scalable multi-cloud support on top of the industry-leading orchestrator. SOW: Domino shall provide advisory services to Customer to install and configure two (2) Kubernetes clusters for the Domino platform on the Customer's cloud infrastructure"
Desktop and Process Analytics,VERINT AMERICAS INC,AI & ML,Development,"Verint Advanced Desktop Analytics captures events and data from employee desktops. Understanding how employees use software applications to perform work provides visibility into identifying top performers, volumes, activity, and process flows for the Contact Centre, Back Office/ Branch."
Interaction Data Platform,VERINT AMERICAS INC,AI & ML,Development,"Verint Interaction Analytics are proven powerful solutions that can help you listen, analyze, and act on the voice of the customer"
Designer,ALTERYX INC,BI & Data Analytics,Data Movement Management,"Alteryx Designer empowers data analysts by combining data preparation, data blending, and analytics – predictive, statistical, and spatial — using the same intuitive user interface. Alteryx Designer is a Windows software application that provides an intuitive drag-and- drop user interface for users to create repeatable workflow processes. Users can drag tools from a toolbox onto a canvas, connect them together, and edit their properties to create Alteryx workflows, apps, and macros.

The Spatial category includes tools that offer spatial data manipulation, processing, and object editing. With an intuitive workflow that allows you to visually bring in several data sets, geocode them, combine them spatially with sources like TomTom and the U.S. Census, and even enrich them with demographic data, Alteryx makes turning traditional data into geospatial data easy — no data scientists required."
SAS Suite,SAS,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"SAS (previously 'Statistical Analysis System') is a statistical software suite developed by SAS Institute for data management, advanced analytics, multivariate analysis, business intelligence, criminal investigation, and predictive analytics."
Cognos,IBM,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"IBM Cognos Business Intelligence is a web-based integrated business intelligence suite by IBM. It provides a toolset for reporting, analytics, scorecarding, and monitoring of events and metrics. The software consists of several components designed to meet the different information requirements in a company."
ICP4D,IBM,BI & Data Analytics,Data Governance,"IBM Cloud Private™ for Data is a new kind of data and analytics platform with built-in governance. It simplifies and unifies how you collect, organize and analyze data to accelerate the value of data science and AI"
Infosphere,IBM,BI & Data Analytics,Data Movement Management,"IBM InfoSphere DataStage is an ETL tool and part of the IBM Information Platforms Solutions suite and IBM InfoSphere. It uses a graphical notation to construct data integration solutions and is available in various versions such as the Server Edition, the Enterprise Edition, and the MVS Edition"
PureData,IBM,BI & Data Analytics,Data Movement Management,"IBM® PureData™ System for Analytics (powered by Netezza® technology) is a simple data appliance for serious analytics. It simplifies and optimizes performance of data services for analytic applications, enabling very complex algorithms to run in minutes not hours"
QMF,IBM,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,IBM DB2 Query Management Facility (QMF) for z/OS is business analytics software developed by IBM. It was originally created to be the reporting interface for the IBM DB2 for z/OS database and is used to generate reports for business decision
SPSS Platform,IBM,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"The IBM® SPSS® software platform offers advanced statistical analysis, a vast library of machine learning algorithms, text analysis, open-source extensibility, integration with big data and seamless deployment into applications.

IBM® SPSS® Statistics is a powerful statistical software platform. It offers a user-friendly interface and a robust set of features that lets your organization quickly extract actionable insights from your data. Advanced statistical procedures help ensure high accuracy and quality decision making. All facets of the analytics lifecycle are included, from data preparation and management to analysis and reporting"
Trillium,PRECISELY SOFTWARE INC,Geographic Information Systems (GIS),Location-Aware Services,"The Trillium Software System (TSS) is a consumable single solution for managing data quality; designed to be intuitive and easy-to-use for business and data professionals, yet powerful enough to handle the most challenging data quality issues.

Precisely Trillium rapidly transforms your tangled data into trusted business information to support data-driven initiatives across your organization. It is a versatile, single solution that provides flexible deployment options, batch and real-time data quality that support rapidly changing business needs, data sources, and enterprise infrastructures."
Cloudera Data Platform (CDP),CLOUDERA INC,BI & Data Analytics,Analytics Database,"Cloudera Data Platform (CDP) is a hybrid data platform designed for unmatched freedom to choose—any cloud, any analytics, any data.

CDP delivers faster and easier data management and data analytics for data anywhere, with optimal performance, scalability, and security.

With CDP you get all the advantages of CDP Private Cloud and CDP Public Cloud for faster time to value and increased IT control.

Combines with CDH"
Power BI,MICROSOFT CORP,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Power BI is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards
Power BI is a collection of software services, apps, and connectors that work together to turn your unrelated sources of data into coherent, visually immersive, and interactive insights. Your data may be an Excel spreadsheet, or a collection of cloud-based and on-premises hybrid data warehouses"
Open Studio for Data Integration,TALEND INC,BI & Data Analytics,Data Movement Management,"With Talend Open Studio, you can begin building basic data pipelines in no time. Execute simple ETL and data integration tasks, get graphical profiles of your data, and manage files — from a locally installed, open-source environment that you control.  This includes Talend Big Data.  Acquired by Qlik"
Open Studio for Data Integration,TALEND INC,Management & Governance,Risk & Compliance,"With Talend Open Studio, you can begin building basic data pipelines in no time. Execute simple ETL and data integration tasks, get graphical profiles of your data, and manage files — from a locally installed, open-source environment that you control.  This includes Talend Big Data.  Acquired by Qlik"
Web Focus,TIBCO SOFTWARE INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Part of the latest developments in TIBCO WebFOCUS® software is the new immersive and responsive WebFOCUS® Hub start page that allows access to every type of device, and navigation to all areas and capabilities of the platform. Download this datasheet to learn about all the new features, and how users can control their experience and manage and organize their content the way they want and need."
Hyperion,ORACLE,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Oracle Hyperion Planning is a centralized planning, budgeting, and forecasting solution that integrates financial and operational planning processes and improves business predictability.
Hyperion is the business division of Oracle that's known for corporate performance management (CPM) and business intelligence systems. The Hyperion portfolio includes products for financial management, budgeting, planning and forecasting (BP&F), financial reporting, database management, financial consolidation, treasury management and analytics."
Collibra Platform (data Intelligence Cloud),COLLIBRA INC,BI & Data Analytics,Data Governance,"Collibra - Data Governance Center from Collibra is an enterprise-oriented data governance platform that provides tools for data management and stewardship. The software allows enterprises to organize and manage data assets and related data policies and rules. The Collibra Platform empowers enterprises to find meaning in their data and improve the quality of business decisions. On one shared platform, both IT and business users can collaborate to create a data-driven organization using the suite of Collibra products.

The current Data intelligence Cloud solution includes Data Catalog and Data Governance."
Virtual Workspace,CITRIX SYSTEMS INC,Digital Workplace,End-User Compute,"Citrix Workspace is a digital workspace solution that delivers secure and unified access to apps, desktops, and content (resources) from anywhere, on any device. These resources can be Virtual Apps and Desktops, content apps, local and mobile apps, SaaS and Web apps, and browser apps."
Virtual App and Desktop,CITRIX SYSTEMS INC,Digital Workplace,End-User Compute,"Citrix Virtual Apps and Desktops are virtualization solutions that give IT control of virtual machines, applications, licensing, and security while providing anywhere access for any device."
Virtual App and Desktop,CITRIX SYSTEMS INC,IT Infrastructure Software Services,Virtualization,"Citrix Virtual Apps and Desktops are virtualization solutions that give IT control of virtual machines, applications, licensing, and security while providing anywhere access for any device."
Stormboard,"STORMBOARD, INC",Digital Workplace,Collaboration & Productivity,"Stormboard is an all-in-one online whiteboard tool where high-performing teams hold meetings, monitor projects, and get work done every day no matter where they are located-down the hall, in a different building, or somewhere else in the world."
Jive,JIVE SOFTWARE,Digital Workplace,Collaboration & Productivity,"Jive Software is an enterprise social networking'software vendor based in Palo Alto, California. The company's flagship product, the Jive Social Business Platform, offers a Facebook-like interface that an organization's employees can use to brainstorm, collaborate and share information."
Mattermost Platform,MATTERMOST INC,Digital Workplace,Collaboration & Productivity,"Mattermost is an open-source, self-hostable online chat service with file sharing, search, and integrations. It is designed as an internal chat for organisations and companies, and mostly markets itself as an open-source alternative to Slack and Microsoft Teams."
EMS Workplace,EMS SOFTWARE LLC,Digital Workplace,Collaboration & Productivity,Purchased from EMS. Google calendar and Google Extension for phase 3 google integration for room reservation
Webcaster,KOLLECTIVE TECHNOLOGY INC,Digital Workplace,Collaboration & Productivity,"Webcaster is the only unlimited self-service enterprise webcasting platform optimized for meetings of over 10,000 participants. As a pure cloud-based solution, Webcaster transforms usage and cost paradigms to offer a complete and proven solution that combines high quality audio, engaging video, an interactive user experienceand consistent service delivery enterprise-wide. The result is an exceptional webcasting experience every time for every one with one low annual cost. With Webcaster, the technology just works, so viewers aren't distracted by quality issues, and the impact of your message comes across clearly."
Meetings & Incentives Worldwide Managed Services,MEETINGS & INCENTIVES WORLDWIDE INC,Digital Workplace,Collaboration & Productivity,SOW for contractor support for Cvent Meeting and Event management software
Cvent Meetings and Events Enterprise,CVENT INC,Digital Workplace,Collaboration & Productivity,"Suite of on-demand software tools that enables organizations to communicate and aggregate data efficiently. Attendee management solution, Site Selection Tool, Meetings Management Solution"
Google Chromebox,GOOGLE - XXVI HOLDINGS INC,Digital Workplace,Collaboration & Productivity,Google Chromebox licenses for meetings software (management and support)
Jamboard,GOOGLE - XXVI HOLDINGS INC,Digital Workplace,Collaboration & Productivity,"Management license for jamboard device (digital, whiteboard whiteboard that works in the cloud)"
Slido Enterprise,SLIDO,Digital Workplace,Collaboration & Productivity,Q&A polling platform for meetings and events
Tag Manager 360,GOOGLE - XXVI HOLDINGS INC,Marketing Management,Market Intelligence,"Google Tag Manager 360 gives you simple and reliable tag management that integrates with systems you're already using. Customization features allow you to adapt Tag Manager 360 to suit your exact needs. You'll be able to launch tags faster and make swifter, better decisions about where and how to use them."
Doubledutch (Event CMS),DOUBLEDUTCH INC,Digital Workplace,Collaboration & Productivity,"Event content management system. Upload content, react to attendees realtime, provides insight"
WebEx,CISCO SYSTEMS INC,Digital Workplace,Collaboration & Productivity,"Webex Meetings lets you host online meetings with HD video, audio and screen sharing."
Google Workspace (G Suite ),GOOGLE - XXVI HOLDINGS INC,Digital Workplace,Collaboration & Productivity,"G Suite, now Google WorkSpace, is the suite of cloud computing, productivity and collaboration tools, software and products developed by Google."
Connections,HCL TECHNOLOGIES LIMITED,Digital Workplace,Collaboration & Productivity,HCL Connections is'social networking software designed for the workplace.
MiCloud Connect,MITEL COMMUNICATIONS INC,Customer Operational Platforms,Customer Experience,"MiCloud Connect is a complete cloud business communications service that delivers seamless voice, collaboration and contact center solutions from a single provider. By combining an intuitive user experience and flexible service plans with Google Cloud's proven reliability, MiCloud Connect makes every aspect of cloud communications and collaboration simple and secure"
Moxtra,MOXTRA INC,Digital Workplace,Collaboration & Productivity,Moxtra is a collaboration and communication platform (SDKs/APIs) that is primarily mobile-oriented
SurgeMail,NETWIN,Digital Workplace,Collaboration & Productivity,"SurgeMail is one of the fastest, most robust, fully-featured email secure server out on the market today that supports all the standards and protocols. With thousands of our mail servers installed, our software is serving hundreds of thousands of webmail accounts around the world."
WebCenter,ORACLE,Digital Workplace,Collaboration & Productivity,"Oracle WebCenter contains a set of components for building rich web applications, portals, and team collaboration/social sites. 

Oracle WebCenter is the center of engagement for business powering exceptional experiences for customers, partners, and employees. It connects people, processes, and information with the most complete portfolio of portal, content management, Web experience management, and collaboration technologies."
Slack,SLACK TECHNOLOGIES INC,Digital Workplace,Collaboration & Productivity,"Slack is a proprietary business communication platform developed by American software company Slack Technologies. Slack offers many IRC-style features, including persistent chat rooms organized by topic, private groups, and direct messaging.  Slack was purchased by Salesforce in 2021."
SmartSheet,SMARTSHEET COM INC,Digital Workplace,Collaboration & Productivity,"Smartsheet is a software as a service offering for collaboration and work management, developed and marketed by Smartsheet Inc. It is used to assign tasks, track project progress, manage calendars, share documents, and manage other work, using a tabular user interface"
SnagIt,TECHSMITH CORPORATION,Digital Workplace,Collaboration & Productivity,Snagit is a screenshot program that captures video display and audio output. 
Process Runner GLSU,Z OPTION,Digital Workplace,Collaboration & Productivity,"GLSU is a plug and play spreadsheet uploader solution. for SAP. It provides a flexible, intuitive Excel interface for. collecting and posting financial transactions from Excel."
Zoom,ZOOM VIDEO COMMUNICATIONS,Digital Workplace,Collaboration & Productivity,"It provides videotelephony and online chat services through a cloud-based peer-to-peer software platform and is used for teleconferencing, telecommuting, distance education, and social relations."
Pexip Infinity,PEXIP AS,Digital Workplace,Collaboration & Productivity,"Pexip Infinity is a self-hosted, virtualized and distributed multipoint conferencing platform."
Bright Talk Webinars,BRIGHT TALK INC,Digital Workplace,Collaboration & Productivity,BrightTALK is'a technology media company that provides professional webinar hosting for a variety of industries.
Labs,BRIGHTIDEA INCORPORATED,Digital Workplace,Collaboration & Productivity,"Brightidea is a cloud-based innovation management solution designed for midsize and large companies. ... Brightidea features discussion management, which provides users with a collaboration platform to share and comment on ideas. Users can also view comments based on teams, topics and ideas on a physical map. Collect, share, route, screen, evaluate, experiment, incubate, develop, track, and report on the best ideas your organization has to offer, with the most advanced idea & innovation management software available."
Adobe Connect,SELECT COMMUNICATIONS LLC,Digital Workplace,Collaboration & Productivity,"Audio bridges used with Adobe Connect.
Adobe Connect supports virtal classroom training on critical business priorities to eliminate the need for travel associated with traditional classroom training while still providing an engaging experience."
Adobe Connect,AGS SOFTWARE INC,Digital Workplace,Collaboration & Productivity,"Adobe Connect Mtg CoSo Mgd,ALL,MGSC,ALL,Ms Named Host Coso 1 Connect Meeting Named Host with CoSo Cloud Managed Services. Each individual Named Host has the ability to host a meeting with up to 100 total attendees"
Adobe Connect,ARKADIN INC,Digital Workplace,Collaboration & Productivity,"Adobe Connect is a robust and feature-rich solution that integrates seamlessly with the Cloud Communications division of NTT's global audio conferencing, providing a consistent, intuitive, and enterprise-class meeting user experience to anyone, anywhere, and on any device.

ARKADIN (GETCONNECT) LICENSES TO PROVIDE AUDIO INTEGRATION FOR THE ADOBE PLATFORM THAT IS UTILIZED FOR ENGAGEMENT AND COMMUNICATIONS WITH OUR HOME BASED TEAM (HBA)."
