Product Name,Cleaned Description,processed_description,tokenized_description,sentiment_score,keyword_count,named_entities,pos_tags
Looker Analytics,analytics platform lets everyone business make informed decisions looker business intelligence platform active agile collaborative built extend data discovery functionality everyone organization make decisions based realtime facts,analytics lets everyone make informed decisions looker intelligence active agile collaborative built extend discovery functionality everyone organization make decisions based realtime facts,"['analytics', 'lets', 'everyone', 'make', 'informed', 'decisions', 'looker', 'intelligence', 'active', 'agile', 'collaborative', 'built', 'extend', 'discovery', 'functionality', 'everyone', 'organization', 'make', 'decisions', 'based', 'realtime', 'facts']",0.18333333333333335,1,"(S
  analytics/NNS
  lets/VBZ
  everyone/NN
  make/NN
  informed/VBN
  decisions/NNS
  looker/RBR
  intelligence/RB
  active/JJ
  agile/NN
  collaborative/NN
  built/VBN
  extend/VBP
  discovery/NN
  functionality/NN
  everyone/NN
  organization/NN
  make/VBP
  decisions/NNS
  based/VBN
  realtime/JJ
  facts/NNS)","[('analytics', 'NNS'), ('lets', 'VBZ'), ('everyone', 'NN'), ('make', 'NN'), ('informed', 'VBN'), ('decisions', 'NNS'), ('looker', 'RBR'), ('intelligence', 'RB'), ('active', 'JJ'), ('agile', 'NN'), ('collaborative', 'NN'), ('built', 'VBN'), ('extend', 'VBP'), ('discovery', 'NN'), ('functionality', 'NN'), ('everyone', 'NN'), ('organization', 'NN'), ('make', 'VBP'), ('decisions', 'NNS'), ('based', 'VBN'), ('realtime', 'JJ'), ('facts', 'NNS')]"
Firehose,amazon kinesis data firehose fully managed service delivering realtime streaming data destinations amazon simple storage service,amazon kinesis firehose fully managed service delivering realtime streaming destinations amazon simple storage service,"['amazon', 'kinesis', 'firehose', 'fully', 'managed', 'service', 'delivering', 'realtime', 'streaming', 'destinations', 'amazon', 'simple', 'storage', 'service']",0.0,0,"(S
  amazon/JJ
  kinesis/NN
  firehose/VBD
  fully/RB
  managed/VBN
  service/NN
  delivering/VBG
  realtime/JJ
  streaming/VBG
  destinations/NNS
  amazon/RB
  simple/JJ
  storage/NN
  service/NN)","[('amazon', 'JJ'), ('kinesis', 'NN'), ('firehose', 'VBD'), ('fully', 'RB'), ('managed', 'VBN'), ('service', 'NN'), ('delivering', 'VBG'), ('realtime', 'JJ'), ('streaming', 'VBG'), ('destinations', 'NNS'), ('amazon', 'RB'), ('simple', 'JJ'), ('storage', 'NN'), ('service', 'NN')]"
Glue,aws glue fully managed extract transform load etl service makes easy customers prepare load data analytics,aws glue fully managed extract transform load etl service makes easy customers prepare load analytics,"['aws', 'glue', 'fully', 'managed', 'extract', 'transform', 'load', 'etl', 'service', 'makes', 'easy', 'customers', 'prepare', 'load', 'analytics']",0.43333333333333335,1,"(S
  aws/NNS
  glue/VBP
  fully/RB
  managed/VBN
  extract/JJ
  transform/NN
  load/NN
  etl/JJ
  service/NN
  makes/VBZ
  easy/JJ
  customers/NNS
  prepare/VBP
  load/JJ
  analytics/NNS)","[('aws', 'NNS'), ('glue', 'VBP'), ('fully', 'RB'), ('managed', 'VBN'), ('extract', 'JJ'), ('transform', 'NN'), ('load', 'NN'), ('etl', 'JJ'), ('service', 'NN'), ('makes', 'VBZ'), ('easy', 'JJ'), ('customers', 'NNS'), ('prepare', 'VBP'), ('load', 'JJ'), ('analytics', 'NNS')]"
Mobile Analytics,amazon mobile analytics service lets easily collect visualize understand app usage data scale,amazon mobile analytics service lets easily collect visualize understand app usage scale,"['amazon', 'mobile', 'analytics', 'service', 'lets', 'easily', 'collect', 'visualize', 'understand', 'app', 'usage', 'scale']",0.43333333333333335,1,"(S
  amazon/NN
  mobile/JJ
  analytics/NNS
  service/NN
  lets/NNS
  easily/RB
  collect/VBP
  visualize/JJ
  understand/NN
  app/NN
  usage/NN
  scale/NN)","[('amazon', 'NN'), ('mobile', 'JJ'), ('analytics', 'NNS'), ('service', 'NN'), ('lets', 'NNS'), ('easily', 'RB'), ('collect', 'VBP'), ('visualize', 'JJ'), ('understand', 'NN'), ('app', 'NN'), ('usage', 'NN'), ('scale', 'NN')]"
Hadoop,apache hadoop collection opensource software utilities facilitate using network many computers solve problems involving massive amounts data computation big data product,apache hadoop collection opensource software utilities facilitate using network many computers solve problems involving massive amounts computation big product,"['apache', 'hadoop', 'collection', 'opensource', 'software', 'utilities', 'facilitate', 'using', 'network', 'many', 'computers', 'solve', 'problems', 'involving', 'massive', 'amounts', 'computation', 'big', 'product']",0.16666666666666666,0,"(S
  apache/NN
  hadoop/NN
  collection/NN
  opensource/NN
  software/NN
  utilities/NNS
  facilitate/VBP
  using/VBG
  network/NN
  many/JJ
  computers/NNS
  solve/VBP
  problems/NNS
  involving/VBG
  massive/JJ
  amounts/NNS
  computation/NN
  big/JJ
  product/NN)","[('apache', 'NN'), ('hadoop', 'NN'), ('collection', 'NN'), ('opensource', 'NN'), ('software', 'NN'), ('utilities', 'NNS'), ('facilitate', 'VBP'), ('using', 'VBG'), ('network', 'NN'), ('many', 'JJ'), ('computers', 'NNS'), ('solve', 'VBP'), ('problems', 'NNS'), ('involving', 'VBG'), ('massive', 'JJ'), ('amounts', 'NNS'), ('computation', 'NN'), ('big', 'JJ'), ('product', 'NN')]"
Spark,spark called general purpose distributed data processing engine lightning fast unified analytics engine big data machine learning lets process big data sets faster splitting work chunks assigning chunks across computational resources opensource,spark called general purpose distributed processing engine lightning fast unified analytics engine big machine learning lets process big sets faster splitting work chunks assigning chunks across computational resources opensource,"['spark', 'called', 'general', 'purpose', 'distributed', 'processing', 'engine', 'lightning', 'fast', 'unified', 'analytics', 'engine', 'big', 'machine', 'learning', 'lets', 'process', 'big', 'sets', 'faster', 'splitting', 'work', 'chunks', 'assigning', 'chunks', 'across', 'computational', 'resources', 'opensource']",0.0625,2,"(S
  spark/NN
  called/VBN
  general/JJ
  purpose/NN
  distributed/VBD
  processing/VBG
  engine/NN
  lightning/VBG
  fast/RB
  unified/VBN
  analytics/NNS
  engine/NN
  big/JJ
  machine/NN
  learning/VBG
  lets/NNS
  process/JJ
  big/JJ
  sets/NNS
  faster/RBR
  splitting/VBG
  work/NN
  chunks/NNS
  assigning/VBG
  chunks/NNS
  across/IN
  computational/JJ
  resources/NNS
  opensource/NN)","[('spark', 'NN'), ('called', 'VBN'), ('general', 'JJ'), ('purpose', 'NN'), ('distributed', 'VBD'), ('processing', 'VBG'), ('engine', 'NN'), ('lightning', 'VBG'), ('fast', 'RB'), ('unified', 'VBN'), ('analytics', 'NNS'), ('engine', 'NN'), ('big', 'JJ'), ('machine', 'NN'), ('learning', 'VBG'), ('lets', 'NNS'), ('process', 'JJ'), ('big', 'JJ'), ('sets', 'NNS'), ('faster', 'RBR'), ('splitting', 'VBG'), ('work', 'NN'), ('chunks', 'NNS'), ('assigning', 'VBG'), ('chunks', 'NNS'), ('across', 'IN'), ('computational', 'JJ'), ('resources', 'NNS'), ('opensource', 'NN')]"
Superset,apache superset opensource software application data exploration data visualization able handle large amounts data,apache superset opensource software application exploration visualization able handle large amounts,"['apache', 'superset', 'opensource', 'software', 'application', 'exploration', 'visualization', 'able', 'handle', 'large', 'amounts']",0.35714285714285715,0,"(S
  apache/NN
  superset/VBN
  opensource/NN
  software/NN
  application/NN
  exploration/NN
  visualization/NN
  able/JJ
  handle/JJ
  large/JJ
  amounts/NNS)","[('apache', 'NN'), ('superset', 'VBN'), ('opensource', 'NN'), ('software', 'NN'), ('application', 'NN'), ('exploration', 'NN'), ('visualization', 'NN'), ('able', 'JJ'), ('handle', 'JJ'), ('large', 'JJ'), ('amounts', 'NNS')]"
DataFlow Platform,cloudera dataflow cdf scalable realtime streaming data platform ingests curates analyzes data key insights immediate actionable intelligence dataflow addresses following challenges processing realtime data streaming high volume high scale tracking data provenance lineage streaming data managing monitoring edge applications streaming sources gaining realtime insights actionable intelligence streaming data,cloudera dataflow cdf scalable realtime streaming ingests curates analyzes key insights immediate actionable intelligence dataflow addresses following challenges processing realtime streaming high volume high scale tracking provenance lineage streaming managing monitoring edge applications streaming sources gaining realtime insights actionable intelligence streaming,"['cloudera', 'dataflow', 'cdf', 'scalable', 'realtime', 'streaming', 'ingests', 'curates', 'analyzes', 'key', 'insights', 'immediate', 'actionable', 'intelligence', 'dataflow', 'addresses', 'following', 'challenges', 'processing', 'realtime', 'streaming', 'high', 'volume', 'high', 'scale', 'tracking', 'provenance', 'lineage', 'streaming', 'managing', 'monitoring', 'edge', 'applications', 'streaming', 'sources', 'gaining', 'realtime', 'insights', 'actionable', 'intelligence', 'streaming']",0.08,2,"(S
  cloudera/NN
  dataflow/NN
  cdf/NN
  scalable/JJ
  realtime/NN
  streaming/VBG
  ingests/NNS
  curates/VBZ
  analyzes/IN
  key/JJ
  insights/NNS
  immediate/VBP
  actionable/JJ
  intelligence/NN
  dataflow/JJ
  addresses/NNS
  following/VBG
  challenges/NNS
  processing/VBG
  realtime/NN
  streaming/VBG
  high/JJ
  volume/NN
  high/JJ
  scale/NN
  tracking/VBG
  provenance/NN
  lineage/NN
  streaming/VBG
  managing/VBG
  monitoring/NN
  edge/NN
  applications/NNS
  streaming/VBG
  sources/NNS
  gaining/VBG
  realtime/NN
  insights/NNS
  actionable/JJ
  intelligence/NN
  streaming/NN)","[('cloudera', 'NN'), ('dataflow', 'NN'), ('cdf', 'NN'), ('scalable', 'JJ'), ('realtime', 'NN'), ('streaming', 'VBG'), ('ingests', 'NNS'), ('curates', 'VBZ'), ('analyzes', 'IN'), ('key', 'JJ'), ('insights', 'NNS'), ('immediate', 'VBP'), ('actionable', 'JJ'), ('intelligence', 'NN'), ('dataflow', 'JJ'), ('addresses', 'NNS'), ('following', 'VBG'), ('challenges', 'NNS'), ('processing', 'VBG'), ('realtime', 'NN'), ('streaming', 'VBG'), ('high', 'JJ'), ('volume', 'NN'), ('high', 'JJ'), ('scale', 'NN'), ('tracking', 'VBG'), ('provenance', 'NN'), ('lineage', 'NN'), ('streaming', 'VBG'), ('managing', 'VBG'), ('monitoring', 'NN'), ('edge', 'NN'), ('applications', 'NNS'), ('streaming', 'VBG'), ('sources', 'NNS'), ('gaining', 'VBG'), ('realtime', 'NN'), ('insights', 'NNS'), ('actionable', 'JJ'), ('intelligence', 'NN'), ('streaming', 'NN')]"
Hortonworks Data Platform (HDP),cloudera enterprise data hub hortonworks data platform hdp open source framework distributed storage processing large multisource data sets hdp modernizes infrastructure keeps data securein cloud onpremiseswhile helping drive new revenue streams improve customer experience control costs,cloudera enterprise hub hortonworks hdp open source framework distributed storage processing large multisource sets hdp modernizes infrastructure keeps securein onpremiseswhile helping drive new revenue streams improve customer experience control costs,"['cloudera', 'enterprise', 'hub', 'hortonworks', 'hdp', 'open', 'source', 'framework', 'distributed', 'storage', 'processing', 'large', 'multisource', 'sets', 'hdp', 'modernizes', 'infrastructure', 'keeps', 'securein', 'onpremiseswhile', 'helping', 'drive', 'new', 'revenue', 'streams', 'improve', 'customer', 'experience', 'control', 'costs']",0.11688311688311688,1,"(S
  cloudera/NN
  enterprise/NN
  hub/NN
  hortonworks/NNS
  hdp/VBD
  open/JJ
  source/NN
  framework/NN
  distributed/VBD
  storage/NN
  processing/VBG
  large/JJ
  multisource/NN
  sets/NNS
  hdp/VBP
  modernizes/JJ
  infrastructure/NN
  keeps/VBZ
  securein/RB
  onpremiseswhile/JJ
  helping/VBG
  drive/JJ
  new/JJ
  revenue/NN
  streams/NNS
  improve/VB
  customer/NN
  experience/NN
  control/NN
  costs/NNS)","[('cloudera', 'NN'), ('enterprise', 'NN'), ('hub', 'NN'), ('hortonworks', 'NNS'), ('hdp', 'VBD'), ('open', 'JJ'), ('source', 'NN'), ('framework', 'NN'), ('distributed', 'VBD'), ('storage', 'NN'), ('processing', 'VBG'), ('large', 'JJ'), ('multisource', 'NN'), ('sets', 'NNS'), ('hdp', 'VBP'), ('modernizes', 'JJ'), ('infrastructure', 'NN'), ('keeps', 'VBZ'), ('securein', 'RB'), ('onpremiseswhile', 'JJ'), ('helping', 'VBG'), ('drive', 'JJ'), ('new', 'JJ'), ('revenue', 'NN'), ('streams', 'NNS'), ('improve', 'VB'), ('customer', 'NN'), ('experience', 'NN'), ('control', 'NN'), ('costs', 'NNS')]"
Data Modeler,erwin data modeler erwin dm awardwinning data modeling tool used find visualize design deploy standardize highquality enterprise data assets erwin data modeler industryleading data modeling solution provides simple visual interface manage complex data environment previously known fusion data modeler,erwin modeler erwin dm awardwinning modeling tool used find visualize design deploy standardize highquality enterprise assets erwin modeler industryleading modeling provides simple visual interface manage complex environment previously known fusion modeler,"['erwin', 'modeler', 'erwin', 'dm', 'awardwinning', 'modeling', 'tool', 'used', 'find', 'visualize', 'design', 'deploy', 'standardize', 'highquality', 'enterprise', 'assets', 'erwin', 'modeler', 'industryleading', 'modeling', 'provides', 'simple', 'visual', 'interface', 'manage', 'complex', 'environment', 'previously', 'known', 'fusion', 'modeler']",-0.11666666666666667,0,"(S
  erwin/JJ
  modeler/NN
  erwin/NN
  dm/NN
  awardwinning/VBG
  modeling/VBG
  tool/NN
  used/VBN
  find/VBP
  visualize/JJ
  design/NN
  deploy/NN
  standardize/NN
  highquality/NN
  enterprise/VBP
  assets/NNS
  erwin/VBP
  modeler/NN
  industryleading/VBG
  modeling/VBG
  provides/VBZ
  simple/JJ
  visual/JJ
  interface/NN
  manage/NN
  complex/JJ
  environment/NN
  previously/RB
  known/VBN
  fusion/NN
  modeler/NN)","[('erwin', 'JJ'), ('modeler', 'NN'), ('erwin', 'NN'), ('dm', 'NN'), ('awardwinning', 'VBG'), ('modeling', 'VBG'), ('tool', 'NN'), ('used', 'VBN'), ('find', 'VBP'), ('visualize', 'JJ'), ('design', 'NN'), ('deploy', 'NN'), ('standardize', 'NN'), ('highquality', 'NN'), ('enterprise', 'VBP'), ('assets', 'NNS'), ('erwin', 'VBP'), ('modeler', 'NN'), ('industryleading', 'VBG'), ('modeling', 'VBG'), ('provides', 'VBZ'), ('simple', 'JJ'), ('visual', 'JJ'), ('interface', 'NN'), ('manage', 'NN'), ('complex', 'JJ'), ('environment', 'NN'), ('previously', 'RB'), ('known', 'VBN'), ('fusion', 'NN'), ('modeler', 'NN')]"
